sep=,
"time","metric"," "
2025-05-18 12:00:00,Unknown,93.6 K
2025-05-18 13:00:00,Faculty,73.5 K
2025-05-18 13:00:00,Member,2.58 K
2025-05-18 13:00:00,Student,2.47 Mil
2025-05-18 13:00:00,Unknown,340 K
2025-05-18 14:00:00,Faculty,70.2 K
2025-05-18 14:00:00,Member,10.4 K
2025-05-18 14:00:00,Staff,683
2025-05-18 14:00:00,Student,3.15 Mil
2025-05-18 14:00:00,Unknown,73.5 K
2025-05-18 15:00:00,Faculty,32.7 K
2025-05-18 15:00:00,Staff,2.39 K
2025-05-18 15:00:00,Student,1.56 Mil
2025-05-18 15:00:00,Unknown,335 K
2025-05-18 16:00:00,Faculty,25.6 K
2025-05-18 16:00:00,Staff,38.6 K
2025-05-18 16:00:00,Student,2.49 Mil
2025-05-18 16:00:00,Unknown,266 K
2025-05-18 17:00:00,Faculty,547 K
2025-05-18 17:00:00,Member,597
2025-05-18 17:00:00,Staff,215 K
2025-05-18 17:00:00,Student,1.75 Mil
2025-05-18 17:00:00,Unknown,26.9 K
2025-05-18 18:00:00,Alum,92.6 K
2025-05-18 18:00:00,Faculty,54.0 K
2025-05-18 18:00:00,Member,753
2025-05-18 18:00:00,Staff,230 K
2025-05-18 18:00:00,Student,3.16 Mil
2025-05-18 18:00:00,Unknown,13.6 K
2025-05-18 19:00:00,Faculty,85.3 K
2025-05-18 19:00:00,Staff,1.21 Mil
2025-05-18 19:00:00,Student,1.83 Mil
2025-05-18 19:00:00,Unknown,40.4 K
2025-05-18 20:00:00,Alum,137 K
2025-05-18 20:00:00,Faculty,613 K
2025-05-18 20:00:00,Staff,37.9 K
2025-05-18 20:00:00,Student,3.68 Mil
2025-05-18 20:00:00,Unknown,1.10 Mil
2025-05-18 21:00:00,Alum,36.1 K
2025-05-18 21:00:00,Faculty,2.82 Mil
2025-05-18 21:00:00,Member,10.0 K
2025-05-18 21:00:00,Staff,36.4 K
2025-05-18 21:00:00,Student,4.12 Mil
2025-05-18 21:00:00,Unknown,1.76 Mil
2025-05-18 22:00:00,Faculty,18.3 Mil
2025-05-18 22:00:00,Member,20.0 K
2025-05-18 22:00:00,Staff,35.9 K
2025-05-18 22:00:00,Student,2.37 Mil
