sep=,
"Time","GPU 2","GPU 2","GPU 1","GPU 1","GPU 1","GPU 1","GPU 3","GPU 3","GPU 3","GPU 0","GPU 0","GPU 0","GPU 3","GPU 3","GPU 1","GPU 1","GPU 1","GPU 0","GPU 0","GPU 0","GPU 2","GPU 2","GPU 0","GPU 0","GPU 0","GPU 2","GPU 2","GPU 2","GPU 3","GPU 3","GPU 3","GPU 1","GPU 1","GPU 1","GPU 1","GPU 1","GPU 1","GPU 0","GPU 0","GPU 0","GPU 1","GPU 1","GPU 1","GPU 0","GPU 0","GPU 0","GPU 3","GPU 3","GPU 2","GPU 2","GPU 1","GPU 1","GPU 0","GPU 0","GPU 3","GPU 1","GPU 0","GPU 2","GPU 0","GPU 2","GPU 3","GPU 1","GPU 1","GPU 1","GPU 0","GPU 0","GPU 1","GPU 0","GPU 0","GPU 0","GPU 0","GPU 0","GPU 0","GPU 0"
2025-04-24 10:30:00,,41.0,,,,39.5,,,39.1,,59.0,,39.6,,57.1,,,60.5,,,42.1,,,58.4,,,58.5,,,59.9,,,57.4,,86.9,,,85.2,,,,396,,,87.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 11:00:00,,41.0,,,,39.5,,,39.1,,59.0,,39.6,,57.1,,,60.5,,,42.1,,,58.9,,,58.0,,,59.9,,,57.4,,86.9,,,85.1,,,,88.1,,,87.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 11:30:00,,41.0,,,,39.5,,,39.1,,59.0,,39.6,,57.1,,,60.5,,,42.1,,,58.5,,,58.5,,,59.9,,,57.4,,86.9,,,85.1,,,,88.1,,,87.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 12:00:00,,41.0,,,,39.5,,,39.1,,59.0,,39.6,,57.1,,,60.5,,,42.1,,,160,,,58.4,,,59.8,,,57.3,,86.9,,,85.1,,,,87.9,,,87.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 12:30:00,,41.0,,,,39.5,,,39.1,,59.0,,39.6,,57.1,,,60.5,,,42.1,,,58.4,,,58.5,,,59.9,,,57.4,,86.9,,,85.2,,,,87.9,,,87.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 13:00:00,,40.5,,,,39.5,,,39.1,,59.0,,39.6,,57.1,,,60.5,,,42.1,,,57.9,,,58.5,,,59.9,,,57.4,,86.9,,,85.2,,,,87.7,,,87.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 13:30:00,,40.5,,,,39.5,,,39.1,,59.0,,39.6,,57.1,,,60.5,,,42.1,,,58.4,,,58.0,,,59.9,,,57.4,,86.9,,,85.0,,,,87.6,,,87.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 14:00:00,,41.0,,,,39.5,,,39.1,,59.0,,39.6,,57.1,,,60.6,,,42.1,,,72.9,,,58.5,,,59.9,,,57.4,,86.9,,,85.1,,,,87.8,,,87.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 14:30:00,,40.5,,,,39.5,,,39.1,,59.0,,39.6,,57.1,,,60.5,,,42.6,,,58.5,,,58.0,,,59.9,,,57.4,,86.9,,,85.1,,,,88.0,,,87.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 15:00:00,,41.0,,,,39.5,,,39.1,,59.0,,39.6,,57.1,,,60.5,,,42.1,,,58.0,,,58.5,,,59.9,,,57.4,,86.9,,,85.1,,,,88.3,,,87.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 15:30:00,,41.0,,,,39.5,,,39.1,,59.0,,39.6,,57.1,,,60.5,,,42.1,,,72.5,,,58.0,,,59.9,,,57.4,,86.9,,,85.2,,,,88.0,,,87.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 16:00:00,,41.0,,,,39.5,,,39.5,,59.0,,39.6,,57.1,,,60.5,,,42.1,,,71.0,,,58.5,,,59.9,,,57.4,,86.9,,,85.2,,,,87.6,,,87.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 16:30:00,,41.0,,,,39.5,,,39.5,,59.0,,39.6,,57.1,,,60.5,,,42.1,,,155,,,58.4,,,59.8,,,57.8,,87.1,,,85.4,,,,88.1,,,87.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 17:00:00,,41.0,,,,39.5,,,39.1,,59.0,,39.6,,57.1,,,60.5,,,42.1,,,58.5,,,58.5,,,59.9,,,57.4,,87.0,,,85.1,,,,88.0,,,87.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 17:30:00,,41.0,,,,39.5,,,39.6,,59.0,,39.6,,57.1,,,60.5,,,42.1,,,57.9,,,58.5,,,59.9,,,57.4,,87.0,,,85.2,,,,87.9,,,87.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 18:00:00,,41.0,,,,39.5,,,39.1,,59.0,,39.6,,57.0,,,60.5,,,42.1,,,58.4,,,58.5,,,59.9,,,57.4,,87.0,,,85.4,,,,88.1,,,87.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 18:30:00,,40.5,,,,39.5,,,39.1,,59.0,,39.6,,57.1,,,60.5,,,42.1,,,58.0,,,58.0,,,59.9,,,57.4,,87.0,,,85.1,,,,88.7,,,87.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 19:00:00,,41.0,,,,39.5,,,39.1,,59.0,,39.6,,57.0,,,60.5,,,42.1,,,58.4,,,58.5,,,59.9,,,57.4,,87.0,,,85.2,,,,88.0,,,87.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
